Prompt	Solution0	Solution1	Label
Ana yin kiɗa don nishaɗi da nuna farin ciki. Amma duk da haka, komai daɗin kiɗa...	Shiru ya fi shi. Saboda da zarar an kashe kiɗa ko an tsagaita da yin sa, sai ka ji wani daɗi da nutsuwa.	Magana ya fi shi. Saboda da zarar an kashe kiɗa ko an tsagaita da yin sa, sai ka ji wani daɗi da nutsuwa.	0
Hanyoyi biyu kacal na cirar kuɗi a akawun na banki. Wataƙila saboda wata buƙata ta taso maka kuma kana da kuɗi ajiye a akwun ɗinka na banki.	Ana iya cirar kuɗi daga akawun ta hanyar katin ATM ko injin POS. Ko kuma ta hanyar cike takardar cirar kuɗi a cikin bacci.	Ana iya saka kuɗi daga akawun ta hanyar katin ATM ko injin POS. Ko kuma ta hanyar cike takardar cirar kuɗi a cikin bacci.	0
Asalin waya dama an ƙirƙire ta ne saboda yin magana da na nesa. To bari mu ji yadda ake yin kira da wayar hannu. 	Idan ka ɗauki wayarka, sai ka shiga inda kake ajiye lambobin wayar mutane, sai ka lalubo lamba ko sunan wanda kake son kira, sai ka danna alamar kira.	Idan ka ɗaure wayarka, sai ka shiga inda kake ajiye lambobin wayar mutane, sai ka lalubo lamba ko sunan wanda kake son kira, sai ka danna alamar kira.	0
Duk yadda ka kai da son a zauna lafiya, wataran sai kun ɓata da wani. Dama Hausawa sun ce, shi zaman duniya, ai zo mu zauna ne...	Zo mu saɓa. Saboda matuƙar muna rayuwa, dole ne sai mun samu saɓani. Amma duk da haka, yana da kyau mu yi wa juna uzuri.	Zo mu saba. Saboda matuƙar muna mutuwa, dole ne sai mun samu saɓani. Amma duk da haka, yana da kyau mu yi wa juna uzuri.	0
Idan lokacin sanyi ne, yawanci sai da ruwan zafi ake wanka, saboda gujewa kamuwa da mura ko wata cuta. Ko kuma idan buƙatar shan shayi ta taso, sai dafa ruwan zafi domin shan shayi. Ga yadda ake tafasa ruwa.	Ka samu roba sai ka zuba ruwa gwargwadon yadda kake da buƙata, sai ka kunna wuta a murhu. Idan ya kama, sai ka ɗora tukunyar a kan wuta. Idan ruwan ya fara zaɓalɓala, to alamar ya tafasa kenan. Sai ka sauke tukunyar, ka kashe murhun.	Ka samu tukunya sai ka zuba ruwa gwargwadon yadda kake da buƙata, sai ka kunna wuta a murhu. Idan ya kama, sai ka ɗora tukunyar a kan wuta. Idan ruwan ya fara zaɓalɓala, to alamar ya tafasa kenan. Sai ka sauke tukunyar, ka kashe murhun.	1
Yi bayanin yadda ake wanke riga. Shi wanki ana yin sa ne domin tsaftace kaya daga datti. Ita tsafta tana da daɗi sosai.	Idan ka ɗauko rawanin da kake son wankewa, sai ka samu bokiti za zuba ruwa a ciki gwargwadon buƙata. Idan da omo za ka yi wankin, sai ka zuba shi daidai yadda zai isheka, ka kaɗa ruwan, sai ya yi kumfa. Sai ka tsoma rigar a cikin ruwan kumfar, ka ringa cuccuɗa duk inda yake da datti, har sai ka gamsu ta fita fes. Idan kuma da sabulu ne, bayan ka tsoma rigar a cikin ruwan, sai ka ringa goga shi a duk inda yake da datti, kana cuccuɗawa, har sai ka gamsu ta fita fes. Sai ka matse rigar, ka shanya ta don ta bushe.	Idan ka ɗauko rigar da kake son wankewa, sai ka samu bokiti za zuba ruwa a ciki gwargwadon buƙata. Idan da omo za ka yi wankin, sai ka zuba shi daidai yadda zai isheka, ka kaɗa ruwan, sai ya yi kumfa. Sai ka tsoma rigar a cikin ruwan kumfar, ka ringa cuccuɗa duk inda yake da datti, har sai ka gamsu ta fita fes. Idan kuma da sabulu ne, bayan ka tsoma rigar a cikin ruwan, sai ka ringa goga shi a duk inda yake da datti, kana cuccuɗawa, har sai ka gamsu ta fita fes. Sai ka matse rigar, ka shanya ta don ta bushe.	1
Yadda ake saka takalmi. Dalilin saka takalmi shi ne, don gujewa taka wani abu da ka iya cutar da ƙafar mutum, wasu lokutan kuma ana iya cewa don ado ake saka shi.	Ka ɗauko takalmin. Ka ajiye shi a ƙasa, sai ka zura ƙafarka ta dama a warin dama, ka zura ta hagu a warin hagu, har sai kowacce ƙafa ta shige cikin takalmin.	Ka ɗauko tabarmar. Ka ajiye shi a ƙasa, sai ka zura ƙafarka ta dama a warin dama, ka zura ta hagu a warin hagu, har sai kowacce ƙafa ta shige cikin takalmin.	0
Tsaftar baki abu ne mai matuƙar muhimmanci domin haƙoranka za su yi ƙarko kuma bakinka ba zai ringa wari ba. Yin asuwaki yana ɗaya daga cikin hanyoyin da ake bi wajen tsaftace baki. Ga yadda ake yin asuwaki.	Ka samo itacen da za ka yi asuwakin wanda girmansa daidai misali ne. Sai ka saka shi a baki ka tattauna bakin itacen. Idan ya yi laushi, sai ka ringa cuccuɗa bakin har sai ka gamsu cewa ya wanku.	Ka samo itacen da za ka yi alwalar wanda girmansa daidai misali ne. Sai ka saka shi a baki ka tattauna bakin itacen. Idan ya yi laushi, sai ka ringa cuccuɗa bakin har sai ka gamsu cewa ya wanku.	0
Duk abin da ka jefa sama, ba can yake maƙalewa ba. Hausawa sun ce, komai nisan jifa?	Ƙasa zai dawo. Abin nufi shi ne, babu wani abu da zai dawwama a matsayin maɗaukaki.	Ƙasa zai hau. Abin nufi shi ne, babu wani abu da zai dawwama a matsayin maɗaukaki.	0
Idan kitso ya tsufa, ana warware shi domin a tsaftace kai kuma a sake yin wani kitson idan ana da buƙatar hakan. Ga yadda ake yin tsifa.	Mutum zai samo kibiyarsa, sai ya samu kitsattsen kai, sai ya kamo guda ɗaya a cikin kitson, sai ya ringa saka kibiyar yana warware kitson. A haka a haka har ya kammala tsefe duk kitson.	Mutum zai samo allura, sai ya samu kitsattsen kai, sai ya kamo guda ɗaya a cikin kitson, sai ya ringa saka kibiyar yana warware kitson. A haka a haka har ya kammala tsefe duk kitson.	0
Idan mutum ba ya so gashinsa ya danƙare waje guda kuma ya yi kyawun gani, sai ya ringa taje shi. Bari ku ji yadda ake tazar kai.	Mutum zai samo mataji, sai ya saka a kansa taje gashinsa, har sai ya taje ko ina.	Mutum zai samo maɓalli, sai ya saka a kansa taje gashinsa, har sai ya taje ko ina.	0
