Prompt	Solution0	Solution1	label
A lẹ ọchẹ ma igbo aflẹyi ọchọọchi na lẹ okunu hẹ tu ọ ku nma ọchi	 Ọchẹ ọma ge chilawọ ohi ku nma ọchi chọọ 	Ọchẹ ọma ge chilawọ ohi ku nma ọchi duu	0
ọchẹ nyọ lẹ uklọ ya no kwu pieyi wa ọlẹ	A le yẹjilọ, a lẹ ainya tọ, miẹ iho no bi a chẹ a le enyi je lo ko gwa	A le yẹjilọ, a lẹ ainya tọ, miẹ iho no bi a chẹ a le enyi je lo ko le	0
Ọchọnya lẹ ipu bi ọya ahanẹ no kwu ọyi ma aplẹ achọnya ẹpa	iye kẹẹ no ma aflẹyi wẹ ijuma, ẹ no wajẹ ọmpa a wẹ ọnyanta	iye kẹẹ no ma aflẹyi wẹ ijuma, ẹ no wajẹ ọmpa a wẹ ejima	0
Ọnyilọ no lẹ ije nẹhi lọfu lẹ anya fiẹ eyi	O le lẹyi a, ẹgẹduu na anya lẹwa lẹ, uwa gee wẹ opu ku iyiuwa	O le lẹyi a, ẹgẹduu na anya lẹwa lẹ, uwa gee wẹ ayinẹ ku iyiuwa	0
Ọdi wẹ okpapka ka aba yọ lẹ	Ohi na chika ochilọ a wẹ obọbi no, a lọfu chẹ kum gbẹhi ẹẹ	Ohi na chika ochilọ a wẹ obọbi no, a lọfu chẹ kum nẹhi ẹẹ	0
Agba nya nee ta kla Ọchidọma a	Ichagba ku Ọchidọma wẹ agaba-idu. Anu foofunu nee ge ta agba ọma ajidọma a	Ichagba ku Ọchidọma wẹ agaba-idu. Anu foofunu nee ge ta agba ọma inidọma a	0
Achẹ nma ipọma alẹwa le tuba ipu ojira na a chagba kla uwa	O gaa tọtẹ no ọchẹ gee hi agba kuwa eyeye glang ma, chẹ ee kọ ọnyọnyẹ Ko miyẹ ichagba kunu	O gaa tọtẹ no ọchẹ gee hi agba kuwa eyeye glang ma, chẹ ee kọ ọnyọnyẹ Ko miyẹ okunu kunu	0
Ọdang kọ ọnya  lẹ aplẹ achọnyilọ ma	Ọyi no wajẹ gbọbu a gee le ko Amedu, amomẹ a gee le ko okopi.	Ọyi no wajẹ gbọbu a gee le ko Amedu, amomẹ a gee le ko okoliko	0
Adọlẹ nyanjẹ oflọchi, O lẹ inalegwu ta, lẹ ọha je lẹ ẹchi chẹẹ	O kwu ukpakwu mla ẹnu  gboo gọ ẹhọ ko nyọi ya uklọ kunu	O kwu ukpakwu mla ẹnu  gboo gọ ẹhọ ko nyọi jije kunu	0
Gbọbu ku ọchẹ ko gwọla eyinya duuma	O lẹ ewo gwu nma ikpo achọla le pia bonu, lẹ ẹwu gwo kwọha chẹẹ kwu enkpọ hẹ kwọ	O lẹ ewo gwu nma ikpo achọla le pia bonu, lẹ ẹwu gwo kwọha chẹẹ kwu ọla hẹ kwọ	1
