PROMPT	SOLUTION0	SOLUTION1	LABEL
Kedu ka nwata akwụkwọ nọ n’ime klaasi ya ga esi dẹ ihe n’ime akwụkwọ ya?	Ọ ga ẹwẹta akwụkwọ ya, mepe ya, wee jiri mkpịsị dẹwẹ akara ma ọ bụ okwu n’otu n’otu n’ime akwụkwọ ya	Ọ ga ẹwẹta akwụkwọ ya, mechie ya, wee jiri mkpịsị dẹwẹ akara ma ọ bụ okwu n’otu n’otu n’ime akwụkwọ ya	0
Mgbe akwụkwọ dabanyere na mmiri, gịnị ka onye hụrụ ya kwesiri i bu ụzọ wee mẹ?	 Onye ahụ ga ẹwẹpụta akwụkwọ ahụ ngwa ngwa, tụpụ mmiri e mebicha ebe nille	Onye ahụ ga ẹwẹghachi akwụkwọ ahụ ngwa ngwa, tụpụ mmiri e mebicha ebe nille	1
kedụ ihẹ nwata akwụkwọ ga e ji ma ọ bụ na ha ha enwẹghị ọkụ, ma chọ ịgụ akwụkwọ n’ime abali?	nwata akwụkwọ ahụ ga-agbanyucha ọkụ ma ọ bụ jiri ọkụ latrik.	nwata akwụkwọ ahụ ga-amụnyẹcha ọkụ ma ọ bụ jiri ọkụ latrik.	1
Mgbe mmadu richara nri, gwam ihe izizi o kwesiri ị mẹ ka nri o riri gaa nke ọma	 mmadụ richara nri ga ebu ụzọ ñụọ mmiri nke ọma, ka nri o riri wee gaa ọfụma	mmadụ richara nri ga ebu ụzọ taa aja nke ọma, ka nri o riri wee gaa ọfụma  	0
A bịa n’ebe nwoke hụrụ nwụnye ya na anya nke ukwu, ọ ga ẹmẹ otu n’ime ịhẹ ndịa:	Nwoke hụrụ nwụnye ya na anya kwesiri ị na àkụ́ nwunye ya ihe mgbe ọbụla	Nwoke hụrụ nwụnye ya na anya kwesiri ị na akụ nwunye ya ihe mgbe ọbụla	1
A bịa n’oge nwanyị chọrọ ịsụ akwa, gwa m ihe o kwesiri i buru ụzọ wẹẹ mẹ	nwanyị chọrọ ịsụ akwa kwesiri i buru uzo banye ya n’ime mmiri, tupu o bido sụwa ya	nwanyị chọrọ ịsụ akwa kwesiri i buru uzo banye ya n’ime aja, tupu o bido sụwa ya	0
Mgbe mmadụ chọrọ idowe ụlọ ya ọcha site n’ịza ya aza, otu n’ime ihe ndịa ka o kwesiri i buru ụzọ mee	mmadụ chọrọ idowe ụlọ ya ọcha kwesiri i buru ụzọ zakọtacha ebe nille tupu o hichawa ya	mmadụ chọrọ idowe ụlọ ya ọcha kwesiri i buru ụzọ mebisie ebe nille tupu o hichawa ya	0
Kẹdụ ngwa ọrụ kachasi mkpa onye chọrọ ịkọ ọrụ ugbo kwesiri inwe tupu o bido?	ngwa ọrụ kachasị mkpa kwesiri ịdị n’aka onye chọrọ ịkọ ugbo bụ ọgụ na mma 	 ngwa ọrụ kachasị mkpa kwesiri ịdị n’aka onye chọrọ ịkọ ugbo bụ iko na éféré	1
A bịa n’ebe nwanyị chọrọ isi nri, gwam otu ihe o kwesiri ịmẹ tupu o siwe nri:   	nwanyị chọrọ isi nri ga e buru ụzọ gbanye mmiri n’ime ite, bulite ite, wee sikwasi ite n’ọkụ	nwanyị chọrọ isi nri ga e buru ụzọ gbanye mmiri n’ime ite, bulite ọkwa, wee sikwasi ite n’ọkụ	0
 Gwam otu ngwa ọrụ ị ga-eji saa ẹzẹ, ma ọ bụrụ na ịchọ ka e dowe eze gị ọcha? 	otu ngwa ọrụ ị ga-eji saa eze ma ị chọrọ i dowe eze gị ọcha bụ mkpụrụ atụ	otu ngwa ọrụ ị ga-eji saa eze ma ị chọrọ i dowe eze gị ọcha bụ mkpụrụ atụ	0
Gwam otu uru ịjẹ ụlọ akwụkwọ na abara ụmụ akwụkwọ na obodo Naịjịrịa	otu uru ịjẹ ụlọ akwụkwọ na abara ụmụ akwụkwọ na obodo Naịjịrịa bụ na ọ na abawanye amamihe ha	otu uru ịjẹ ụlọ akwụkwọ na abara ụmụ akwụkwọ na obodo Naịjịrịa bụ na ọ na abawanye amamihe ha	0
 I chọ́rọ́ ị kpọ mmadụ n’ẹkwẹntị, kẹdụ ihe ị kwesiri ịmẹ ka o wee gaa nke ọma?	Onye chọrọ ị kpọ mmadụ n’ẹkwẹnti ga ebu ụzọ chọta ebe obibi onye ahụ n’ekwentị gị	1: Onye chọrọ ị kpọ mmadụ n’ẹkwẹnti ga ebu ụzọ chọta nọmba onye ahụ n’ekwentị gị	1
 Otu n’ime ụzọ a abụghị usoro e si adọba ego ka ọ ghara i mefu emefu	otu ụzọ e si adọba ego ka ọ ghara i mefu bụ site n’ịdọba ya n’ime ọhịa	otu ụzọ e si adọba ego ka ọ ghara i mefu bụ site n’ịdọba ya n’ime ụlọ akụ	1
Ọ bụrụ na mmadụ chọrọ i rahụ ụra ọfụma, kedu ebe o kwesiri i dina?	mmadụ chọrọ ị rahụ ụra ọfụma kwesiri i dina n’elu àkwà	mmadụ chọrọ ị rahụ ụra ọfụma kwesiri i dina n’elu ụgbọala	0
A bịa n’oge ẹ nwẹrẹ mmẹmmẹ, otu ihe n’ime ịhẹ ndịa ka ndị egwu a naghi eji akụ egwu:	a bịa n’oge mmẹmmẹ, ndị egwu anaghị eji ogene akụ egwu	a bịa n’oge mmẹmmẹ, ndị egwu anaghị eji okwute akụ egwu	1
Otu ịhẹ mbụ mmadụ kwesiri ịmẹ ma ọ bụrụ na ekwenti ya dabanyẹ n’ime mmiri	Onye ẹkwẹntị ya dabanyere na mmiri kwesiri ịwẹpụta ya na mmiri ngwa ngwa	Onye ẹkwẹntị ya dabanyere na mmiri kwesiri itinyechi ya na mmiri ngwa ngwa	0
 Otu ịhẹ ndịa bụ otu uru kọmpụta bara wee nye ụmụakwụkwọ na obodo Naịjịrịa:	otu uru kọmpụta bara wee nye ụmụakwụkwọ n’obodo Naịjịrịa bụ na o na eme ka usoro e ji eme ihe na aga ngwa ngwa	otu uru kọmpụta bara wee nye ụmụakwụkwọ n’obodo Naịjịrịa bụ na o na eme ka usoro e ji eme ihe na-aga obere obere  	1
 A bịa na ịzụ ahịa, gwam otu ngwa ọrụ kachasị mma mmadụ kwesiri iji zụta ihẹ n’ahia:	otu ngwa ọrụ kachasị mma mmadu kwesiri iji zụta ihe n’ahịa bụ mmiri	otu ngwa ọrụ kachasị mma mmadu kwesiri iji zụta ihe n’ahịa bụ ego	1
Otu n’ime ihe ndịa ga-ẹmẹ mmadụ na-anaghị achịkọnata ego ya:	Otu n’ime ihe ndị ga-ẹmẹ mmadụ na-anaghị achịkọnata ego ya bụ na ọ ga eme ya ka ọ daa ogbenye	Otu n’ime ihe ndị ga-ẹmẹ mmadụ na-anaghị achịkọnata ego ya bụ na ọ ga eme ya ka ọ baa ọgaranya	0
Mgbe nwata akwụkwọ anaghị agụ akwụkwọ, otu n’ime ihe ndịa bụ ihe ga-eme:	mgbe nwata akwụkwọ anaghị agụ akwụkwọ, ọ ga-ẹnwẹ ọganịhụ n’ule ya	mgbe nwata akwụkwọ anaghị agụ akwụkwọ, ọ ga-ẹnwẹ nsogbu n’ule ya	1
Mgbe nwata akwụkwọ nwẹrẹ ule ọ ga ẹdẹ, ọ ga eburu ụzọ wee mee nkẹ a :	ọ ga na-agụ akwụkwọ ya nkẹ ọma ka ọ wee mee ọfụma, ka ọ ghara ịnwẹ nsogbu ọbụla n’ule ya	ọ ga na-agụ akwụkwọ ya nkẹ ọma ka ọ wee mee ọfụma, ka ọ nwẹ nsogbu nille n’ule ya	0
A bịa na isi nri, ụdị ihe na-eji esi ofe nsala tọrọ ụtọ nke ọma bụ otu n’ime ndịa:	A bịa na isi nri, ụdị anụ a na-eji esi ofe nsala tọrọ ụtọ bụ anụ ewu	A bịa na isi nri, ụdị anụ a na-eji esi ofe nsala tọrọ ụtọ bụ anụ oke 	0
