Prompts	Solution0	Solution1	Label
 ẹvẹ whọ rẹ rẹ ruẹrẹ oma họ kẹ ẹdawọ?	Nọ whọ tẹ be ruẹrẹ oma họ kẹ ẹdawọ, who re koko ebe ra họ eva owọwọ, whọ vẹ rehọ oma kpotọ se izoẹme na, nọ who te ru ohena no, whọ vẹ za enọ nọ evrẹ no, re whọ rọ dawọ otoriẹ ra, ọfariẹ, whọ rẹ vuẹ owhurẹ ra nọ ọ fotọ eria nọ e rọ bẹbẹ, ọrọurere who re serihọ eva ẹruoke re evori ra ọ sai kareghẹhọ.	Nọ whọ tẹ be ruẹrẹ oma họ kẹ ẹdawọ, who re koko iwu ra họ eva owọwọ, whọ vẹ rehọ oma kpotọ se izoẹme na, nọ who te ru ohena no, whọ vẹ za enọ nọ evrẹ no, re whọ rọ dawọ otoriẹ ra, ọfariẹ, whọ rẹ vuẹ owhurẹ ra nọ ọ fotọ eria nọ e rọ bẹbẹ, ọrọurere who re serihọ eva ẹruoke re unwe ra ọ sai kareghẹhọ.	0
Eme ufou nọ who re ruẹ nọ owhurẹ ra ọ tẹ be ta ẹme	Nọ owhurẹ ra ọtẹ be ta ẹme, wẹ keria agbara ra fọtou, who ve ri owhurẹ na ababọ ekuiroroivẹ, ute no ohena no, whẹ vẹ gaviẹ ezọ kẹ ewhurẹ na, ọfariẹ who ve kere umutho oware nọ who whurẹ họ obe ra, o rọ urere whọ rẹ kpare obọ ra avọ adhẹ nọ who te wo onọ.	Nọ owhurẹ ra ọtẹ be ta ẹme, wẹ keria agbara ra fọtou, who ve ri owhurẹ na avọ ekuiroroivẹ, ute no ohena no, whẹ vẹ gaviẹ ezọ kẹ ewhurẹ na, ọfariẹ who ve kere umutho oware nọ who whurẹ họ obe ra, o rọ urere whọ rẹ kpare owọ ra avọ adhẹ nọ who te wo onọ.	0
Eme ọ rẹ lẹliẹ emọ ewhurẹ kpohọ uwouewhurẹ?	Emọ ewhurẹ a re kpohọ uwouewhurẹ re a whurẹ eriariẹ gbe iruo obọ, eva eklase, a re se ebe nọ I re fiobọhọ kẹ ae woma, a re he whurẹ epanọ a re ro kere jẹ ruẹrẹ idhọvẹ họ gbagba. Iwhurẹ a re su ae avọ ohrẹ avọ udu owha, o rọ urere, a rẹ ruẹrẹ oma kpahe kẹ obaro akpọ nọ ure lo.	Iwhurẹ a re kpohọ uwouewhurẹ re a whurẹ eriariẹ gbe iruo obọ, eva eklase, a re se ebe nọ I re fiobọhọ kẹ ae woma, a re he whurẹ epanọ a re ro kere jẹ ruẹrẹ idhọvẹ họ gbagba. Iwhurẹ a re su ae avọ ohrẹ avọ udu owha, o rọ urere, a rẹ ruẹrẹ oma kpahe kẹ obaro akpọ nọ ure lo.	0
otẹrọnọ who leye kpohọ uwouewurẹ, eme ufou nọ who re ruẹ?	otẹrọnọ who leye kpohọ uwouewurẹ, who re yere owhurẹ ra avọ adhẹ, whọ vẹ vuẹ oware nọ o lẹle owhẹ leye, nọ ute no ọhena no, whọ rẹ nya dhedhẹ kpohọ agabra ra ababọ edo, ọfariẹ, who ve si ebe ra ze kuoma gbe ewhurẹ na, o rọ urere, whọ vẹ yeya nọ who gbe ti leye ofa ha.	otẹrọnọ who leye kpohọ eki, who re yere owhurẹ ra avọ adhẹ, whọ vẹ vuẹ oware nọ o lẹle owhẹ leye, nọ ute no ọhena no, whọ rẹ nya dhedhẹ kpohọ agabra ra ababọ edo, ọfariẹ, who ve si ebe ra ze kuoma gbe ewhurẹ na, o rọ urere, whọ vẹ yeya nọ who gbe ti leye ofa ha.	0
ẹvẹ who re ro whurẹ isase?	Who re whurẹ ibieme gbe eme kẹdẹkẹdẹ, whọ vẹ wariẹ ẹme lele owhurẹ ra re u ru isase ra woma, nọ ute no ọhena no, whu ve se nọ obeiku re ọ wha owhẹ uduama, ofariẹ, whọ vẹ yare ẹkpọhọ nọ who te ru thọ, o rọ urere, who ve he dhe erueru bẹ se nọ o rẹ lọhọ	You practice letters and words every day. Then, you repeat after your teacher to improve your pronunciation. After that, you read aloud from your storybook to gain fear. Next, you ask for correction when you make mistakes. Finally, you keep practicing until it becomes easy. — Who re whurẹ ibieme gbe eme kẹdẹkẹdẹ, whọ vẹ wariẹ ẹme lele owhurẹ ra re u ru isase ra woma, nọ ute no ọhena no, whu ve se nọ obeiku re who wo ozọo, ofariẹ, whọ vẹ yare ẹkpọhọ nọ who te ru thọ, o rọ urere, who ve he dhe erueru bẹ se nọ o rẹ lọhọ	0
Eme ufou nọ whọ rẹ wha kpohọ eklase kẹdẹkẹdẹ	kẹdẹkẹdẹ ufou nọ whọ rẹ wọ ẹkpa iskulu ra gbe ebe avọ ugbẹ, whọ vẹ wọ uvoro ra kẹ iruo efoafo, nọ ute no ọhena no, whọ vẹ wariẹ riwi re who te ti nya nọ uwou no.	kukpekukpe ufou nọ whọ rẹ wọ ẹkpa iskulu ra gbe ebe avọ ugbẹ, whọ vẹ wọ uvoro ra kẹ iruo efoafo, nọ ute no ọhena no, whọ vẹ wariẹ riwi re who te ti nya nọ edhere no.	0
Ono họ ọmọ ewhurẹ?	ọmọ ewhurẹ yọ ohwo nọ ọ rẹ gaviezọ kẹ owhurẹ eva eklase, a rẹ keria dhehdẹ a vẹ muẹro hotọ eva oke ewhurẹ, a re se ebe rae re a wo otoriẹ eware nọ a bi whurẹ.	ọmọ ewhurẹ yọ ohwo nọ ọ rẹ gaviezọ kẹ ọthoeki eva eklase, a rẹ keria dhehdẹ a vẹ muẹro hotọ eva oke ewhurẹ, a re se ebe rae re a wo otoriẹ eware nọ a bi whurẹ.	0
Ono họ owhurẹ?	owhurẹ họ ohwo nọ o re fotọ eware ekpokpọ kẹ emọ ewhurẹ, a re dikihiẹ aro eklase a vẹ kẹ eghrẹ, a rẹ za enọ, a vẹ kẹ ọkpọvio eva oke ẹruoke, a re su emọ ewhurẹ họ uyeoruẹ re a wọ areghẹ.	ozuẹ họ ohwo nọ o re fotọ eware ekpokpọ kẹ emọ ewhurẹ, a re dikihiẹ aro eklase a vẹ kẹ eghrẹ, a rẹ za enọ, a vẹ kẹ ọkpọvio eva oke ẹruoke, a re su emọ ewhurẹ họ uyeoruẹ re a wọ areghẹ.	0
Eme ọ rẹ via nọ who gbe ru iruouwou ra ha?	Whọ tẹ se iruouwou ra ba eruo, who ti wo otoriẹ ewhure nọtha ziezi hi, orẹte da owhẹrọ I nọ who ru iruo obẹbẹ hẹ.	Whọ tẹ se iruoeklase ra ba eruo, who ti wo otoriẹ ewhure nọtha ziezi hi, orẹte da owhẹrọ I nọ who ru iruo obẹbẹ hẹ.	0
oghẹrẹkẹ Uruemu vẹ who wo eva oke ekokohọ eva iskulu.	eva oke ekokohọ, who re dikihiẹ dhehdẹ, whọ vẹ so ole orẹwho na avọ ole iskulu na avọ adhẹ, nọ ute nọ oyena no whọ vẹ gaviezọ kẹ izi gbe eghrẹ.	eva oke nọ a rẹ rọ re emu ovuvo, who re dikihiẹ dhehdẹ, whọ vẹ so ole orẹwho na avọ ole iskulu na avọ adhẹ, nọ ute nọ oyena no whọ vẹ gaviezọ kẹ izi gbe eghrẹ.	0
