Prompt	Solution0	Solution1	Label
if pesin wan cook white rice sharp sharp,	e go put water for fire first, den e go con wash rice put con add salt for taste. e go dey check di rice, dey add water put untill e soft. once e don soft, e go con wait mek di rice dry water, before e begin chop am.	e go put water for fire first, den e go con wash stone put con add salt for taste. e go dey check di rice, dey add water put untill e soft. once e don soft, e go con wait mek di rice dry water, before e begin chop am.	0
How to ferment cassava quick quick for Akpu or fufu?	 you go first wash di cassava wey you don peel for inside big rubber, den you go con pour bore hole water inside.  you go con cover am tight with cover or tray, after three days e go don ferment.	 you go first wash di cassava wey you don peel for inside big rubber, den you go con pour bore hole sand inside.  you go con cover am tight with cover or tray, after three days e go don ferment.	0
For òrò festival for Yoruba land,	ifa pipo go sleep round di village for night. man fit waka come out during dat period, but if woman waka come out na taboo.	ifa pipo go waka round di village for night. man fit waka come out during dat period, but if woman waka come out na taboo.	1
For Ramadan period, Muslims dey wake up early morning to	eat Wetin dem dey call sahur. After dem don chop sahur finish, dem no go eat or drink anything again untill e reach time for Dem to break, wey be by 7 o'clock.	eat Wetin dem dey call breakfast. After dem don chop sahur finish, dem no go eat or drink anything again untill e reach time for Dem to break, wey be by 7 o'clock.	0
how to wash hand wey dirty?	first you go carry water for bowl if your tap no dey run with soap. you go con rub di soap for your hand den you pour water for your hand, mek sure sey you wash di hand well well for like 3 minutes, den you go con rinse your hand with water and dry am with clean towel.	first you go carry water for bowl if your tap no dey run with sweet. you go con rub di soap for your hand den you pour water for your hand, mek sure sey you wash di hand well well for like 3 minutes, den you go con rinse your hand with water and dry am with clean towel.	0
if Linguists wan collect data for field work,	dem go use condenser microphone and video recorder tey collect di data, so dat deir data quality go get better quality.	dem go use condenser cooker and video recorder tey collect di data, so dat deir data go get better quality.	0
For Igbo gatherings 	fowl no dey allow to talk for where man dey talk, and Dem no go fit sit down for where men dem dey drink, because na dia culture be dat.	woman no dey allow to talk for where man dey talk, and Dem no go fit sit down for where men dem dey drink, because na dia culture be dat.	1
How to grind pepper with grinding stone:	 you go go market go buy your pepper. den you go con remove di stick of di pepper. you go con put your pepper dem inside bowl of water, after dat, you go con wash your grinding stone with water, den you put your pepper dem ontop di grinding stone, use the grinding stone pikin grind am back and front, wen e don smooth you go con pack am inside dry clean bowl.	 you go go church go buy your pepper. den you go con remove di stick of di pepper. you go con put your pepper dem inside bowl of water, after dat, you go con wash your grinding stone with water, den you put your pepper dem ontop di grinding stone, use the grinding stone pikin grind am back and front, wen e don smooth you go con pack am inside dry clean bowl.	0
if farmer wan plant corn,	e go check for very fertile soil, den e go con dig ground small, put like two or three seed of yam before e go con cover am.	e go check for very fertile soil, den e go con dig ground small, put like two or three seed of corn before e go con cover am.	1
how to wake up early.	first, no chop heavy food after bed,  If belle too full, sleep go heavy you, you no go quick wake up. anoda thing be sey, no press phone till midnight, If you wan wake early, try go bed quick, and if you set alarm, put alarm for the time wey you wan wake, e go help ginger you to quick wake up.	first, no chop heavy food before bed,  If belle too full, sleep go heavy you, you no go quick wake up. anoda thing be sey, no press phone till midnight, If you wan wake early, try go bed quick, and if you set alarm, put alarm for the time wey you wan wake, e go help ginger you to quick wake up.	1
if you wan chop coconut, Wetin you go do?	first, you go go market go price coconut, once you see di one your money reach, you go buy am. you go con use cutlass tek peel di back of di coconut, after you peel am. you go con use cutlass or strong hammer break di coconut, wen you break am finish. you go either throway di water of di coconut or you drink am, den you go con use your knife tek remove di coconut from di strong back, den you go con rinse am with clean water before you begin chop am. 	first, you go go church go price coconut, once you see di one your money reach, you go buy am. You go con use cutlass tek peel di back of di coconut, after you peel am. you go con use cutlass or strong hammer break di coconut, wen you break am finish. you go either throway di water of di coconut or you drink am, den you go con use your knife tek remove di coconut from di strong back, den you go con rinse am with clean water before you begin chop am. 	0
for islamic naming ceremony,  	Dem go shave di baby hair to abolo, den di mallam go con pray for di baby, e go con call di baby name for e ear three times, so dat di baby go sabi Im name. everybodi go con chop, mama and papa of di pikin go con dance. everybodi go dance and rejoice.	Dem go shave di baby hair to abolo, den di pastor go con pray for di baby, e go con call di baby name for e ear three times, so dat di baby go sabi Im name. everybodi go con chop, mama and papa of di pikin go con dance. everybodi go dance and rejoice.	0
how to plant cassava?	you go first clear di land wey you plant di cassava put, den you go con burn di bush wey you clear comot. you go con carry your cassava stick dem, you go con use your cutlass cut dem small-small small-small, before you go con dey put dem inside soil one by one, so dat dem go germinate wella. 	you go first clear di land wey you plant di banana put, den you go con burn di bush wey you clear comot. you go con carry your cassava stick dem, you go con use your cutlass cut dem small-small small-small, before you go con dey put dem inside soil one by one, so dat dem go germinate wella. 	0
