Prompt	Solution0	Solution1	Label
Idan mutum ya yi tuntuɓe me zai faru?	Zai kurje ƙafarsa ko ya faɗi 	Zai kurje ƙafarsa ko ya tashi sama	1
Domin kwaɓa ƙullin ɗanwake.	Za a haɗa garin ɗanwake da ruwan kanwa da garin kuka madaidaici 	Za a haɗa garin yashi da ruwan kanwa da garin kuka madaidaici 	1
Yadda za ka tuƙa babur mai ƙafa biyu	Idan ka buga shi, sai ka saka masa totir, sai ka murɗa giya a hankula. 	Idan ka buga shi, sai ka saka masa giya, sai ka murɗa totir a hankula. 	1
Ta yaya ake gasa naman saniya, irin gashin tukuban nan?	Bayan ka yanka naman, za ka haɗa garwashi sai ka kara naman a jikin wutan har sai ya yi maka yadda kake so. 	Bayan ka yanka naman, za ka haɗa garwashi sai ka kara naman a jikin dutse har sai ya yi maka yadda kake so. 	0
Yadda ake yin tuwon dawa mai laushi.	Za a samu niƙaƙken dawa a yi sanwarsa a bar shi ya dafu sosai	Za a samu niƙaƙken yashi a yi sanwarsa a bar shi ya dafu sosai	0
Ta yaya ake ɗinka jamfa irin ta Hausawa?	Za ka samu hula biyar ta shadda sai ka ba da tela ya ɗinka maka	Za ka samu yadi biyar ta shadda sai ka ba da tela ya ɗinka maka	1
Ta yaya ake yin gawayi a daji?	Ana sassara bishiya sai a tona rami a haɗa mata wuta har sai ya zama gawayi	Ana sassara rami sai a tona rami a haɗa mata wuta har sai ya zama gawayi	0
Idan kana son haɗa yajin daddawa ga yadda za ka yi.	Za ka samu daddawa da kayan ya ji sai a daka ko a niƙa a inji	Za ka samu ƙarago da kayan ya ji sai a daka ko a niƙa a inji	0
Domin yin gwaten ganyen rama mai daɗi sosai ga yadda za ka yi.	Za a samu rago da gyaɗa a haɗa da tsaki a dafa shi da ruwa-ruwa	Za a samu rama da gyaɗa a haɗa da tsaki a dafa shi da ruwa-ruwa	1
Yaya ake kafce gonar shinkafa?	Za a nemi motar hannu ko na riga sai a kafce a lokacin da gonar take da damshi	Za a nemi garmar hannu ko na shanu sai a kafce a lokacin da gonar take da damshi	1
Domin aske ciyawa mai ƙarfi da ya yi yawa. 	A samu fartanya ko almakashin yanke ciyawa domin yankewa.	A samu fartanya ko almakashin yanke ciyawa domin dasawa.	0
Da a ce zan jefa farantin gilashi sama sosai, idan ya faɗo me kake ganin zai faru? 	Zai faɗo ya ragargaje	Zai faɗo a hankali	0
A tsakanin Bauchi da Kano, wane gari ne ya fi tarin al'umma da harkokin kasuwanci?	Kano ta fi saboda dalilai na zahiri	Bauchi ta fi saboda dalilai na zahiri	0
Idan ƙafar gadonka ya ɓalle ta yaya za ka gyara shi?	Ka nemi ƙusa da guduma sai ka haɗa wurin da ya karye ka buga.	Ka nemi riga da wando sai ka haɗa wurin da ya karye ka buga.	0
Idan za a shuka masara ƙwaya nawa ake sakawa a duk ramin shuka?	Kowane rami za a saka masa ƙwaya ɗaya zuwa biyu	Kowane gona za a saka masa ƙwaya ɗaya zuwa biyu	0
Yadda ake amfani da alluran hannu idan za a yi ɗinki. 	Za a saka masa zare a ninka, sai ana sakawa ta gaba ana fitar da shi ta baya har sai an ɗinke wurin da ake so	Za a saka masa mota a ninka, sai ana sakawa ta gaba ana fitar da shi ta baya har sai an ɗinke wurin da ake so	0
Ta wane hannu ake fara rubutun Hausa na Ajami?	Ta hannun dama saboda asalinsa daga Larabci ne	Ta sama saboda asalinsa daga Larabci ne	0
Ta yaya ake tura saƙo ta waya? 	Za ka rubuta saƙo sai ka zaɓi lambar da kake so ka tura wa	Za ka kunna saƙo sai ka zaɓi lambar da kake so ka tura wa	0
Yadda ake kunna talabijin	Za ka nemi talabiji a jikin talabijin ɗin ko kuma rimot sai ka danna har sai ya kunnu	Za ka nemi makunnin a jikin talabijin ɗin ko kuma rimot sai ka danna har sai ya kunnu	1
Yadda za ka kunna fanka	Za ka nemi fanka a jikin bango ko kuma rimot sai ka danna har sai ya kunnu	Za ka nemi makunnin a jikin bango ko kuma rimot sai ka danna har sai ya kunnu	1
Ta yaya ake amfani da alƙalami wajen rubutu?	Za a riƙe shi da hannu sai a ɗora a kan teburi a rubuta abin da ake so	Za a riƙe shi da hannu sai a ɗora a kan takarda a rubuta abin da ake so	1
Yadda ake amfani da takarda wajen rubutu	Za a ajiye ta kan teburi sai a ɗauki takarda a yi rubutu	Za a ajiye ta kan teburi sai a ɗauki alƙalami a yi rubutu	1
Ta yaya ake haɗa lemon tsami da sukari don yin lemun sha?	Za a matse lemon sai a saka iya abin da ake so na sukari a ɗan saka ruwa gwargwado	Za a matse dutse sai a saka iya abin da ake so na sukari a ɗan saka ruwa gwargwado	0
Idan kana son yin barci da wuri, me za ka yi?	Ka kwanta, ka ajiye wayarka ka rufe ido har sai barci ya ɗauke ka 	Ka tashi, ka ajiye wayarka ka rufe ido har sai barci ya ɗauke ka 	0
Ta yaya ake yin miya mai ɗanɗano?	Za a saka masa kayan ya ji da kayan  wari da sauran kayan ɗanɗano	Za a saka masa kayan ya ji da kayan  ƙamshi da sauran kayan ɗanɗano	1
Ta yaya ake gyara gado bayan an tashi daga barci?	Za a kaɗe shimfiɗar sai a mayar da shi a daidaita shi a salon da ake so	Za a ɗaga shimfiɗar sai a mayar da shi a daidaita shi a salon da ake so	0
Me za ka fara yi kafin ka ɗebo ruwa daga rijiya? 	Za ka zura rijiya ka kaɗa ta har sai ta ɗebo ruwa	Za ka zura gugar ka kaɗa ta har sai ta ɗebo ruwa	1
Ta yaya ake amfani da famfo wajen ɗiban ruwa?	Ana daga shi sai a saka abun ɗibar ruwa har sai ya cika	Ana kunna shi sai a saka abun ɗibar ruwa har sai ya cika	1
Me za ka yi idan kana so ka yi wanka da safe?	Za ka zubar da ruwa ka sirka shi gwarwadon yadda kake so	Za ka dafa ruwa ka sirka shi gwarwadon yadda kake so	1
Ta yaya ake goge haƙora da buroshi?	Za a saka makilin a kan buroshi sai a fara goge baki, sannan a haɗiye da ruwa	Za a saka makilin a kan buroshi sai a fara goge baki, sannan a kuskure da ruwa	1
Ta yaya ake yanka albasa ba tare da ka yi hawaye ba?	Za ka saka riga ko ka rufe hancinka da matari	Za ka saka gilashi ko ka rufe hancinka da matari	1
Ta yaya ake soya ƙwan kaza?	Bayan an fasa dutse za a kaɗa shi sai a saka mai a kasko a zuba ƙwan har sai ya soyu	Bayan an fasa ƙwai za a kaɗa shi sai a saka mai a kasko a zuba ƙwan har sai ya soyu	1
