Prompt	Solution 0	Solution 1	Label
Oka rẹ eravwọn vọ ọyen a vwọ tọn igari?	 Etaso ọyen e vwo chere igari na	Etaso ọyen a vwọ tọn igari	1
Mavọ ọyen ee ruẹ imidaka ee miẹ usi nu a ke tọn ?	E de miẹ usi nẹ imidaka nu kẹ aa vwọ hwa uvo a ke tọn	E de miẹ usi nẹ imidaka nu kẹ aa vwọ yara uvo a ke tọn	0
Ekpẹ ọfuafo vẹ isimeti ọyen a vwọ bọn utughẹ vwẹ orere Urhobo	Ejo, ekpẹ ọphaphare ọyen a vwọ bọn utughẹ vwẹ orere Urhobo, ọdiẹ isimeti vẹ ekpẹ ọfuafo oo	 Ejo, ekpẹ ọphaphare ọyen a vwọ bọn utughẹ vwẹ orere Urhobo, ọdiẹ isimeti vẹ ekpẹ ọfuafo	0
Odja eruo…	 Odja eruo usu rẹ ewian ihwo Urhoboo wian mamọ	Odja echere usu rẹ ewian ihwo Urhoboo wian mamọ	1
Die yi sorọ rẹ a saa mrẹ oghwo evwri vwẹ asa rẹ a da sa emu uu?	Ihwo buebun gbi vughe obo ee chere oghwo evwriii kọyi so rọ rẹ a gbe mrẹ dẹ vwẹ asa a da sa emu uu	 Ihwo buebun gbi vughe obo ee duvwẹ oghwo evwriii kọyi so rọ rẹ a gbe mrẹ dẹ vwẹ asa a da sa emu uu	0
Die ọyi so rọ rẹ ihwo vwọ ruẹ ẹga ishọshi igigi urhiọke?	 Igigi urhiọke ihwo vwọ ruẹ ẹga ishọshi ifikidie ọke ye na ẹvwẹn ihwo eje vwa boroboro.	Igigi urhiọke ihwo vwọ ruẹ ẹga ishọshi ifikidie ọke ye na ẹvwẹn ihwo eje vwa bọrọbọrọ.	1
Ee se amwa eshare ruo vwọ sẹ osẹvwe…ọkpọ ọ vẹ erhu rẹ ayen vwo toghẹ uyovwin	Egbro. Ọ rẹ eya, ọseba gbẹ aniku. Ayen mi rha gba urhiọfọ, mu ekpo	Egbro. Ọ rẹ eya, ọseba gbẹ aniku. Ayen mi rhe gba urhiọfọ, mu ekpo	0
Eya eyen brọ ọgọrọ vwẹ ẹkuotọ Urhobo	Ẹjo.Vwẹ ẹkuotọ Urhobo, eya a yeren urhe ee, kọye sorọ rẹ eshare yen suọ ọgọrọ vwẹ orere	Ẹjo. Vwẹ ẹkuotọ Urhobo, eya yere urhe ee, kọye sorọ rẹ eshare yen brọ ọgọrọ vwẹ orere	1
Eya eyen suọ iroba vwẹ ẹkuotọ Urhobo	Vwẹ ẹkuotọ Urhobo, eyaa yeren urhe ee, kọye sorọ rẹ eshare yen suọ iroba vwẹ orere	Vwẹ ẹkuotọ Urhobo, eya yere urhe ee, kọye sorọ rẹ eshare yen brọ iroba vwẹ orere	0
Mavọ ọyen aa fọrọn emwa vwẹ orhoma urhie?	Ọke avwanre, enu ukuta ọyen a da fọrọn emwa vwẹ orhoma urhie	 Ọke avwanre, enu ukuta ọyen a da bẹrẹ emwa vwẹ orhoma urhie	0
Eghene da mrẹ omọtẹ rẹ oo je re, kọọ ….	Guọnọ ihwo rẹ omọtẹ na te uwevwin rẹ omọtẹ na rere o mu eyan rẹ emu ebro rọye yọ	Guono ihwo rẹ omọtẹ na te uwevwin rẹ omọtẹ na rere o mu eyan rẹ emu esio rọye yọ	0
