Prompt	Solution0	Solution1	Label
Tí òní bá jé ọjọ́ ajé, ọjọ́ wo ni ọjọ márùn-ún òní yóò jé?  	ọjọ́ márùn-ún òní yóò jé ọjọ́ etì̀	ọjọ́ márùn-ún òní yóò jé ọjọ́ àbámẹ̀ta	0
Tí àti gbin àgbàdo ebè igba kan bá gba wákàtí mẹ̀ta, wákàtí mélòó ni àti gbin àgbàdo ebè igba méta yóò jé?	Wákàtí márùn-ún	Wákàtí mé̟sàn-án	1
Ó gba enìkan ní ọjọ mẹ́wàá láti gbẹ kànga kan. Ọjọ mélòó ló ma gba ènìyàn méjì láti gbé kànga náà?	Yíò gba ọjọ́ métàlá	Yíò gba ọjọ́ márùn-ún	1
Ìsẹ́jú àáyá mélòó ló wà nínú  ìsẹ́jú kan?	Ìsẹ́jú àáyá ọgọ́ta ló wà nínú  ìsé̟jú kan	Ìsẹ́jú àáyá ọgọ́r̀un-ún ló wà nínú ìsé̟jú kan	0
ìdá méjì ìsẹ́jú kan yoo je…	Ìsẹ́jú àáyá ọgbọ̀n	Ìsẹ́jú àáyá ogójì	0
Tí yàrá ìkékọ̀ọ́ kan bá gba akẹ́kọ̀ọ́ márùndínlọ́gbọ̀n. Ọmọ mélòó ni yàrá ìkẹ́kọ̀ọ́ méjì yíò gbà?	yàrá ìkẹ́kọ̀ọ́ méjì yíò gbà ọmọ ọgọrùn-ún	yàrá ìkẹ́kọ̀ọ́ méjì yíò gbà ọmọ àádọ́ta	1
Ọjọ́ mélòó ló wà ninu ọ̀sẹ̀ méjì ?	Ọjọ́ mérìnlá ló wà ninu ọ̀sẹ̀ méjì	Ọjọ́ igba ló wà ninu ọ̀sẹ̀ méjì	0
Omo odun márùndínlọ́gbọ̀n ni Àdùké nígbà tí ó bí Àbèní. Tí Àbèní bá jẹ́ ọmo ọdún mérin lọ́dún yìí, ọmọ ọdún mélòó ni Àdùké yóò jẹ́?	Àdùké yóò jẹ́ ọmọ ọgbọ̀n ọdún.	Àdùké yóò jẹ́ ọmọ ̀ọkàndínlọ́gbọ̀n ọdún.	1
“Òru kò mọn ẹni ọ̀wọ̀ ló dífá fún ‘̀iwọ ta nù-hun’”. Aago mélòó ni a lè pè ní òrun?	ọ̀gànjọ́, nígbà tí gbogbo èèyàn ti s̀un	ọ̀sán, nígbà tí gbogbo èèyàn n sisé.	1
Ti a ba pin osan ọgọ́ta laarin awon omo marun-un, ogboogba, osan melo oni omo kookan yoo gba? 	Ọmọ kòòkan yóò gba ọsàn ọgọ́ta	Ọmọ kòòkan yóò gba ọsàn méjìlá 	1
Ìrìn ọkọ̀ ojú-irin láti Lokoja sí Sokoto yóò gba wákàtí méjìdínlógójì. Tí Àpèké bá gbéra ní Lokoja ní aago méje ọjọ́ Ajé, ọjọ́ wo ni yóò dé Sokoto?	Àpèké yóò dé Sokoto ní ọjọ́ Ọjọ́rú	Àpèké yóò dé Sokoto ní ọjọ́ Ìsẹ́gun	1
Tí a bá n ṣe ẹpo láti ara ẹyìn. Tí epo bá jẹ́ àwọ̀ pupa, àwọ̀ kínni ẹyìn yóò jẹ́?	àwọ̀ pupa ni ẹyìn yóò jẹ́	àwọ̀ dúdú ni ẹyìn yóò jẹ́	0
Tí a bá fún ewé igi gẹdú, oje pupa ló máa jáde. Tí a bá fẹ́ lé làálì pupa lórí ìka, kínni ó ye kí a se? 	Ó ye kí a fún ewé igi ọgbọ́	Ó ye kí a fún ewé igi ọgbọ́ gẹdú	1
Igi àgbàdo kọ̀ọ̀kan ní yàrá àfihàn gbé ọmọ mẹ́ta mẹ́ta pọ̀n. Tí gbogbo igi àgbàdo nínú yàrá náà bá jẹ́ ogún, ọmọ àgbàdo mẹ́lòó ló wà nínú yàrá náà lápapò? 	Gbogbo ọmọ àgbàdo náà jé méjìlá	Gbogbo ọmọ àgbàdo náà jé ọgọ́ta	1
Arugbá Ọ̀sun Òsogbo jẹ́ ọmọ ọdún mókànlá ní ọdún méwàá séyìn. Ọmọ ọdún mélòó ní yóò jẹ́ ní ọdún tó hún bọ̀?	Arugbá náà yíò jẹ́ ọmọ ọdún mọ́kànlélọ́gbọ̀n	Arugbá náà yíò jẹ́ ọmọ ọdún méjìlélógún	1
Tí Yorùbá bá kí ni kú ìyálèta, ó tún mọ̀n sí wípé	aago méwàá sí mọ́kànlá àárò la wà	aago méwàá sí mọ́kànlá alé la wà	0
Ìgbà tí Alabi lọ sí ọ̀dọ̀ bàbá alágbẹ̀dẹ ní aago méwàá òwúrọ̀, bàbá ní kí ó fún òhun ní wákàtí mẹ́fà si kí ó tó padà wá gba ọkọ́ reè. Aago mélòó ló yẹ kí Alabi padà lọ?	aago mẹ́rìndínlógún ọ̀sán	aago mẹ́rin ìrọ̀lẹ́	1
Baba Itu fẹ́ gbin isu igba kan sí oko iwájú. Ó ti ní èbù isu ọgọ́sàn-án. Èbù isu mélòó ni ó nílò si?	Èbù isu ogún	Èbù isu ọgọ́fà	0
Kínni ọgbọ̀n lónà ìlópo méta yóò fún wa?	ọgbọ̀n lónà ìlópo méta yóò fún wa ní ọgọ́fà 	ọgbọ̀n lónà ìlópo méta yóò fún wa ní àádọ́rùn-ún	1
Ọjọ́ àkọ́kọ́ nínú osù kìíní ọdún yìí bọ́ sí ọjọ àìkú. Ọjọ́ wo ni ọjọ́ kẹsàn-án nínú ọdún yóò jẹ́?	ọjọ́ kẹsàn-án nínú ọdún yóò jẹ́ ọjọ ajé	ọjọ́ kẹsàn-án nínú ọdún yóò jẹ́ ọjọ ẹtì. 	0
Olùkó bèèrè lọ́wọ́ Adigun wípé: “ọ̀sẹ̀ mélòó ló wà nínú ọjọ́ mọ́kànlélógún?”. Kínni ó ye kí ìdáhùn rẹ̀ jẹ́?	ọ̀sẹ̀ méji ló wà nínú ọjọ́ mọ́kànlélógún	ọ̀sẹ̀ méta ló wà nínú ọjọ́ mọ́kànlélógún	1
Ìyá àgbà fẹ́ mọn tí Ige bá mọn ohun tí aago sọ. Ó bèèrè lọ́wọ́ rẹ̀ wípé: “tí ọwọ́ aago gígùn bá tọ́ka sí mẹ́jìlá, tí ọwọ́ aago kékeré bá tọ́ka sí mẹ́fà, kínni aago sọ”?	Ó túnmọ̀ sí wípé aago mẹ́fà ti lù	Ó túnmọ̀ sí wípé aago mẹ́jilá ti lù	0
Àwọ́n ọmọ ilé ẹ̀kọ́ jélíósimin ogún ló wà ní ilé ìwé yìí. Tí ọjọ́ orí ọmọ kòòkan bá jẹ́ ọdún méjì, kínni ọjọ́ orí gbogbo àwọn ọmọ náà yóò jé lápapò?	ọjọ́ orí gbogbo àwọn ọmọ náà yóò jé ọgúnrùn-ún ọdún	ọjọ́ orí gbogbo àwọn ọmọ náà yóò jé ogójì ọdún	1
Ìrìnàjò láti Jebba sí Ijebu gba wákàtí méjìdínláàádọ́ta. Ọkọ̀ tí Ramota wọ̀ gúnlẹ̀ sí Ijebu ní òní, ọjọ́ àìkú. Ọjọ́ wo ní Ramota gbéra kúrò ní Jebba?	Ramota gbéra kúrò ní Jebba ní ọjọ́ ajé.	Ramota gbéra kúrò ní Jebba ní ọjọ́ ẹtì	1
Ìyàtò wákàtí méwàá ló wà ní àárín ìlú Adelaide àti ìlú Eko. Tí a bá fẹ́ se ìpàdé làti ìlú Eko pèlú ẹni tí ó wà ní ìlú Adelaide, a gbọ́dò yọ wákàtí mésàn-án kúrò ní iye aago tí ará ìlú Adeleaide bá wà. Tí ará ìlú Adelaide bá fi ìpàdé sí aago méwàá òwúrọ̀, aago mélòó ni yíò jẹ́ ní ìlú Eko?	Ìpàdé náà yíò jẹ́ aago mẹ́rin òwúrò ní ìlú Eko	Ìpàdé náà yíò jẹ́ aago mọ́kànlá alẹ́ ní ìlú Eko	1
Èwo ló pọ̀ jù nínú ọ̀rìnlélúgba ati àrúnlélọ̀rìnlélúgba?	ọ̀rìnlélúgba pọ̀ ju àrúnlélọ̀rìnlélúgba lọ	Àrúnlélọ̀rìnlélúgba pọ ju ọ̀rìnlélúgba lọ	0
Tí Yorùbá bá kí ni kú àfèmọ́jú, ó tún mọ̀n sí wípé	aago márùn-ún sí mẹ́fà àárò la wà	aago márùn-ún sí mẹ́fà alé la wà	0
Ramon Elékọ máa n yọ àkàsù ẹ̀kọ ogún láti ara àgbàdo ọgọ́rùn-ún. Àgbàdo mélòó ni Ramo Elékọ ní lò láti pón àkàsu ẹ̀kọ ẹyọkan?	Ramon Elékọ  ní lò àgbà̀do mésàn-án	Ramon Elékọ  ní lò àgbà̀do márùn-ún	1
Ọjọ́ orí Aremu jẹ́ ìlópo mérin ti ọmọ rè, Adabi. Tí Adabi bá jẹ́ ọmọ ọdún mọ́kànlá, ọmọ ọdún mélòó ni Aremu?	Aremu jẹ́ ọmọ ọdún mẹ́rìnléláàádọ́ta	Aremu jẹ́ ọmọ ọdún mẹ́rìnlélọ́gọ́rin	1
Osunsumbo ra ìwé mérìnlá ní ẹ̀ẹ́dẹ́gbẹ̀rin naira. Èló ni ó ra ìwé kòòkan	ìwé kòòkan jẹ́ àádọ́ta naira	ìwé kòòkan jẹ́ ẹgbẹ̀fà naira	0
